,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,539.298
1,FDW14,OUT017,1211.756
2,NCN55,OUT010,233.03
3,FDQ58,OUT017,1378.206
4,FDY38,OUT027,5522.811
5,FDH56,OUT046,810.9444
6,FDL48,OUT018,703.0848
7,FDC48,OUT027,1331.6
8,FDN33,OUT045,958.752
9,FDA36,OUT017,2591.2936
10,FDT44,OUT017,1779.0176
11,FDQ56,OUT045,1845.5976
12,NCC54,OUT019,197.0768
13,FDU11,OUT049,2059.9852
14,DRL59,OUT013,692.432
15,FDM24,OUT049,1099.9016
16,FDI57,OUT045,3174.5344
17,DRC12,OUT018,5350.3688
18,NCM42,OUT027,2876.256
19,FDA46,OUT010,184.4266
20,FDA31,OUT013,1235.059
21,NCJ31,OUT035,1691.7978
22,FDG52,OUT046,643.1628
23,NCL19,OUT019,144.4786
24,FDS10,OUT035,1999.3974
25,FDX22,OUT010,187.0898
26,NCF19,OUT035,680.4476
27,NCE06,OUT046,1787.0072
28,DRC27,OUT046,1474.0812
29,FDE21,OUT035,1274.3412
30,NCR42,OUT019,83.8908
31,FDX51,OUT018,2160.521
32,NCR06,OUT018,105.8622
33,FDU31,OUT027,4976.855
34,FDU59,OUT017,3574.0144
35,FDR03,OUT027,3751.1172
36,FDS49,OUT027,4074.696
37,FDD48,OUT010,234.3616
38,NCF18,OUT017,2245.0776
39,NCD43,OUT027,1544.656
40,NCD54,OUT018,3560.6984
41,FDY19,OUT010,345.5502
42,NCY54,OUT017,2708.4744
43,NCL19,OUT018,2375.5744
44,FDP23,OUT010,563.2668
45,FDC26,OUT013,1215.7508
46,FDR14,OUT010,117.1808
47,NCS41,OUT035,3112.615
48,FDF41,OUT035,5153.292
49,FDU34,OUT046,1618.5598
50,DRH11,OUT046,1174.4712
51,FDM03,OUT013,2251.0698
52,FDS31,OUT017,2065.3116
53,FDJ20,OUT017,3433.5306
54,FDV44,OUT027,2253.0672
55,FDG02,OUT049,3956.8494
56,FDA09,OUT013,3067.3406
57,FDT04,OUT013,656.4788
58,FDL58,OUT019,255.6672
59,FDE52,OUT045,2554.0088
60,FDW12,OUT035,4294.41
61,FDL51,OUT017,5770.4886
62,NCY42,OUT027,2127.231
63,FDR07,OUT017,1834.279
64,FDN40,OUT045,1537.998
65,FDB35,OUT027,3364.9532
66,FDA22,OUT017,4512.1266
67,NCL06,OUT046,4229.1616
68,FDI35,OUT013,2544.6876
69,NCW42,OUT045,5321.0736
70,NCX06,OUT049,3307.6944
71,FDC37,OUT027,3057.3536
72,FDZ14,OUT018,985.384
73,DRG49,OUT049,7105.4176
74,NCG06,OUT045,4637.9628
75,DRC36,OUT045,1225.7378
76,FDV21,OUT019,245.0144
77,FDB53,OUT046,1938.8096
78,DRP47,OUT019,256.9988
79,FDA14,OUT013,1904.188
80,DRC24,OUT035,2884.2456
81,FDW21,OUT018,1406.1696
82,NCH29,OUT046,1091.2462
83,FDU58,OUT013,3755.112
84,FDY27,OUT017,1230.3984
85,FDV56,OUT035,922.7988
86,FDT59,OUT046,6911.004
87,FDB23,OUT046,2692.4952
88,FDR49,OUT045,506.008
89,FDB03,OUT010,717.0666
90,FDN39,OUT045,3523.4136
91,FDX02,OUT027,4592.0226
92,FDQ16,OUT027,3057.3536
93,FDU35,OUT018,1094.5752
94,NCT29,OUT013,2586.633
95,FDZ27,OUT046,236.359
96,FDN57,OUT017,3486.1288
97,FDA03,OUT018,2059.9852
98,FDZ36,OUT045,1496.7184
99,NCU05,OUT013,2336.2922
100,FDT39,OUT018,644.4944
101,FDK60,OUT017,1458.102
102,FDZ25,OUT017,3994.8
103,FDG12,OUT046,4264.449
104,DRB01,OUT019,575.2512
105,NCC43,OUT027,7366.011720000012
106,FDX13,OUT019,1324.942
107,FDM22,OUT049,1348.245
108,FDJ03,OUT027,1069.2748
109,FDU14,OUT018,4965.5364
110,FDB33,OUT010,308.9312
111,FDP27,OUT046,4933.578
112,FDO38,OUT010,117.1808
113,FDE28,OUT027,7366.011720000013
114,FDO27,OUT035,1342.2528
115,DRL23,OUT027,1631.21
116,FDS28,OUT046,282.965
117,FDX24,OUT013,1110.5544
118,FDZ02,OUT035,583.2408
119,FDL46,OUT045,1946.7992
120,FDS60,OUT027,6157.3184
121,NCO06,OUT017,99.87
122,FDO16,OUT035,1022.6688
123,FDC60,OUT049,2833.6448
124,FDA48,OUT018,2768.3964
125,FDZ36,OUT027,7366.011720000013
126,FDK27,OUT045,1575.2828
127,FDW23,OUT018,186.424
128,FDM14,OUT018,3235.788
129,FDM14,OUT013,1584.604
130,FDW60,OUT018,535.3032
131,FDE21,OUT013,1274.3412
132,NCM42,OUT035,515.995
133,FDY59,OUT010,93.8778
134,DRI49,OUT049,1158.492
